1,SP/172,ASH-BE
2,SP/176,ASH-BR
3,SP/178,ASH-GY
4,SP/190,LARC-16 (MOCA)
5,SP/191,LARC-25(GREEN)
6,SP/192,LARC-1(BE)
7,SP/194,LARC-10(LBR)
8,SP/195,LARC-4(CREAM)
9,SP/196,LARC-17(DBR)
10,SP/197,LARC-14(BL)
11,SP/198,LARC-27(NV)
12,SP/199,LARC-3(WH)
13,SP/206,FREE-97
14,SP/207,FREE-96
15,SP/209,FREE-93
16,SP/210,LARC-32A(GYPK)
17,SP/211,LARC-30A(SKBL)
18,SP/212,LARC-15(CHGY)
19,SP/213,LARC-36(DGY)
20,SP/214,LARC-28(DG)
21,SP/221,WD19259A-1(yellow)
22,SP/222,WD19259A-4(blue)
23,SP/223,WD19259A-5(gray)
24,SN/01,CHILI-01
25,SN/02,CHILI-17
26,SN/03,CHILI-25
27,SN/19,XY19262-19
28,SN/42,XY262-42
29,SN/56,CHILI-56
